"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"536975","22952","60_CAKE_CASES_VINTAGE_CHRISTMAS",24,2010-12-03,0.55,14911,"EIRE"
"536975","21815","STAR__T-LIGHT_HOLDER",24,2010-12-03,1.45,14911,"EIRE"
"536975","35967","FOLK_ART_METAL_STAR_T-LIGHT_HOLDER",24,2010-12-03,0.38,14911,"EIRE"
"536975","22049","WRAP_CHRISTMAS_SCREEN_PRINT",50,2010-12-03,0.42,14911,"EIRE"
"536975","85032D","YULETIDE_IMAGES_GIFT_WRAP_SET",12,2010-12-03,2.1,14911,"EIRE"
"536975","22752","SET_7_BABUSHKA_NESTING_BOXES",6,2010-12-03,8.5,14911,"EIRE"
"536975","22075","6_RIBBONS_ELEGANT_CHRISTMAS",12,2010-12-03,1.65,14911,"EIRE"
"536975","22585","PACK_OF_6_BIRDY_GIFT_TAGS",12,2010-12-03,1.25,14911,"EIRE"
"536975","22844","VINTAGE_CREAM_DOG_FOOD_CONTAINER",4,2010-12-03,8.5,14911,"EIRE"
"536975","22845","VINTAGE_CREAM_CAT_FOOD_CONTAINER",4,2010-12-03,6.35,14911,"EIRE"
"536975","22846","BREAD_BIN_DINER_STYLE_RED",2,2010-12-03,16.95,14911,"EIRE"
"536975","22847","BREAD_BIN_DINER_STYLE_IVORY",2,2010-12-03,16.95,14911,"EIRE"
"536975","22848","BREAD_BIN_DINER_STYLE_PINK",2,2010-12-03,16.95,14911,"EIRE"
"536975","22849","BREAD_BIN_DINER_STYLE_MINT",2,2010-12-03,16.95,14911,"EIRE"
"536975","22946","WOODEN_ADVENT_CALENDAR_CREAM",2,2010-12-03,16.95,14911,"EIRE"
"536975","22947","WOODEN_ADVENT_CALENDAR_RED",2,2010-12-03,16.95,14911,"EIRE"
"536975","22560","TRADITIONAL_MODELLING_CLAY",24,2010-12-03,1.25,14911,"EIRE"
"536975","21912","VINTAGE_SNAKES_&_LADDERS",4,2010-12-03,3.75,14911,"EIRE"
"536975","22549","PICTURE_DOMINOES",12,2010-12-03,1.45,14911,"EIRE"
"536975","21914","BLUE_HARMONICA_IN_BOX",12,2010-12-03,1.25,14911,"EIRE"
"536975","21888","BINGO_SET",4,2010-12-03,3.75,14911,"EIRE"
"536975","22623","BOX_OF_VINTAGE_JIGSAW_BLOCKS",3,2010-12-03,4.95,14911,"EIRE"
"536975","21064","BOOM_BOX_SPEAKER_BOYS",6,2010-12-03,5.95,14911,"EIRE"
"536975","84558A","3D_DOG_PICTURE_PLAYING_CARDS",6,2010-12-03,2.95,14911,"EIRE"
"536975","85227","SET_OF_6_3D_KIT_CARDS_FOR_KIDS",12,2010-12-03,0.85,14911,"EIRE"
"536975","22299","PIG_KEYRING_WITH_LIGHT_&_SOUND",24,2010-12-03,1.25,14911,"EIRE"
"536975","22180","RETROSPOT_LAMP",4,2010-12-03,9.95,14911,"EIRE"
"536975","84849B","FAIRY_SOAP_SOAP_HOLDER",12,2010-12-03,1.69,14911,"EIRE"
"536975","84849A","HELLO_SAILOR_BLUE_SOAP_HOLDER",12,2010-12-03,1.69,14911,"EIRE"
"536975","20966","SANDWICH_BATH_SPONGE",10,2010-12-03,1.25,14911,"EIRE"
"536975","20961","STRAWBERRY_BATH_SPONGE",10,2010-12-03,1.25,14911,"EIRE"
"536975","22863","SOAP_DISH_BROCANTE",6,2010-12-03,2.95,14911,"EIRE"
"536975","22423","REGENCY_CAKESTAND_3_TIER",4,2010-12-03,12.75,14911,"EIRE"
"536975","22304","COFFEE_MUG_BLUE_PAISLEY_DESIGN",6,2010-12-03,2.55,14911,"EIRE"
"536975","22837","HOT_WATER_BOTTLE_BABUSHKA",8,2010-12-03,4.65,14911,"EIRE"
"536975","22941","CHRISTMAS_LIGHTS_10_REINDEER",12,2010-12-03,8.5,14911,"EIRE"
"536975","22942","CHRISTMAS_LIGHTS_10_SANTAS",10,2010-12-03,8.5,14911,"EIRE"
"536975","22816","CARD_MOTORBIKE_SANTA",24,2010-12-03,0.42,14911,"EIRE"
"536975","22121","NOEL_WOODEN_BLOCK_LETTERS",12,2010-12-03,5.45,14911,"EIRE"
"536975","79321","CHILLI_LIGHTS",4,2010-12-03,4.95,14911,"EIRE"
"536975","22704","WRAP_RED_APPLES",25,2010-12-03,0.42,14911,"EIRE"
"536975","22705","WRAP_GREEN_PEARS",25,2010-12-03,0.42,14911,"EIRE"
"536975","22748","POPPY'S_PLAYHOUSE_KITCHEN",6,2010-12-03,2.1,14911,"EIRE"
"536975","22745","POPPY'S_PLAYHOUSE_BEDROOM",6,2010-12-03,2.1,14911,"EIRE"
"536975","22746","POPPY'S_PLAYHOUSE_LIVINGROOM",6,2010-12-03,2.1,14911,"EIRE"
"536975","22747","POPPY'S_PLAYHOUSE_BATHROOM",6,2010-12-03,2.1,14911,"EIRE"
"536975","22592","CARDHOLDER_HOLLY_WREATH_METAL",4,2010-12-03,3.75,14911,"EIRE"
"536975","21165","BEWARE_OF_THE_CAT_METAL_SIGN",12,2010-12-03,1.69,14911,"EIRE"
"536975","21179","NO_JUNK_MAIL_METAL_SIGN",12,2010-12-03,1.25,14911,"EIRE"
"536975","21164","HOME_SWEET_HOME_METAL_SIGN",6,2010-12-03,2.95,14911,"EIRE"
"536975","21484","CHICK_GREY_HOT_WATER_BOTTLE",4,2010-12-03,3.45,14911,"EIRE"
"536975","22114","HOT_WATER_BOTTLE_TEA_AND_SYMPATHY",8,2010-12-03,3.95,14911,"EIRE"
"536975","84030E","ENGLISH_ROSE_HOT_WATER_BOTTLE",4,2010-12-03,4.25,14911,"EIRE"
"536975","22113","GREY_HEART_HOT_WATER_BOTTLE",8,2010-12-03,3.75,14911,"EIRE"
"536975","22112","CHOCOLATE_HOT_WATER_BOTTLE",9,2010-12-03,4.95,14911,"EIRE"
"536975","84559A","3D_SHEET_OF_DOG_STICKERS",12,2010-12-03,0.85,14911,"EIRE"
"536975","84559B","3D_SHEET_OF_CAT_STICKERS",12,2010-12-03,0.85,14911,"EIRE"
"536975","20981","12_PENCILS_TALL_TUBE_WOODLAND",12,2010-12-03,0.85,14911,"EIRE"
"536975","20982","12_PENCILS_TALL_TUBE_SKULLS",12,2010-12-03,0.85,14911,"EIRE"
"537368","20749","ASSORTED_COLOUR_MINI_CASES",4,2010-12-06,7.95,14911,"EIRE"
"537368","20750","RED_RETROSPOT_MINI_CASES",4,2010-12-06,7.95,14911,"EIRE"
"537368","22776","SWEETHEART_CAKESTAND_3_TIER",2,2010-12-06,9.95,14911,"EIRE"
"537368","82494L","WOODEN_FRAME_ANTIQUE_WHITE",6,2010-12-06,2.95,14911,"EIRE"
"537368","22147","FELTCRAFT_BUTTERFLY_HEARTS",12,2010-12-06,1.45,14911,"EIRE"
"537368","22150","3_STRIPEY_MICE_FELTCRAFT",6,2010-12-06,1.95,14911,"EIRE"
"537368","22569","FELTCRAFT_CUSHION_BUTTERFLY",8,2010-12-06,3.75,14911,"EIRE"
"537368","22570","FELTCRAFT_CUSHION_RABBIT",8,2010-12-06,3.75,14911,"EIRE"
"537368","22568","FELTCRAFT_CUSHION_OWL",4,2010-12-06,3.75,14911,"EIRE"
"537368","22210","WOOD_STAMP_SET_BEST_WISHES",12,2010-12-06,1.65,14911,"EIRE"
"537368","22189","CREAM_HEART_CARD_HOLDER",8,2010-12-06,3.95,14911,"EIRE"
"537368","21648","ASSORTED_TUTTI_FRUTTI_SMALL_PURSE",24,2010-12-06,1.25,14911,"EIRE"
"537368","84375","SET_OF_20_KIDS_COOKIE_CUTTERS",12,2010-12-06,2.1,14911,"EIRE"
"537368","20975","12_PENCILS_SMALL_TUBE_RED_RETROSPOT",24,2010-12-06,0.65,14911,"EIRE"
"537368","C2","CARRIAGE",1,2010-12-06,50,14911,"EIRE"
"537378","22697","GREEN_REGENCY_TEACUP_AND_SAUCER",12,2010-12-06,2.95,14911,"EIRE"
"537378","22423","REGENCY_CAKESTAND_3_TIER",12,2010-12-06,12.75,14911,"EIRE"
"537378","21363","HOME_SMALL_WOOD_LETTERS",3,2010-12-06,4.95,14911,"EIRE"
"537378","22339","CHRISTMAS_TREE_PAINTED_ZINC",24,2010-12-06,0.65,14911,"EIRE"
"537378","22338","STAR_DECORATION_PAINTED_ZINC",24,2010-12-06,0.65,14911,"EIRE"
"537378","22336","DOVE_DECORATION_PAINTED_ZINC",24,2010-12-06,0.65,14911,"EIRE"
"537378","22571","ROCKING_HORSE_RED_CHRISTMAS",36,2010-12-06,0.85,14911,"EIRE"
"537378","22595","CHRISTMAS_GINGHAM_HEART",36,2010-12-06,0.85,14911,"EIRE"
"537378","22594","CHRISTMAS_GINGHAM_TREE",36,2010-12-06,0.85,14911,"EIRE"
"537378","22593","CHRISTMAS_GINGHAM_STAR",36,2010-12-06,0.85,14911,"EIRE"
"537378","22576","SWALLOW_WOODEN_CHRISTMAS_DECORATION",36,2010-12-06,0.85,14911,"EIRE"
"537378","22574","HEART_WOODEN_CHRISTMAS_DECORATION",36,2010-12-06,0.85,14911,"EIRE"
"537378","22573","STAR_WOODEN_CHRISTMAS_DECORATION",36,2010-12-06,0.85,14911,"EIRE"
"537378","22082","RIBBON_REEL_STRIPES_DESIGN",20,2010-12-06,1.65,14911,"EIRE"
"537378","21754","HOME_BUILDING_BLOCK_WORD",8,2010-12-06,5.95,14911,"EIRE"
"537378","84945","MULTI_COLOUR_SILVER_T-LIGHT_HOLDER",72,2010-12-06,0.85,14911,"EIRE"
"537378","22119","PEACE_WOODEN_BLOCK_LETTERS",6,2010-12-06,6.95,14911,"EIRE"
"537378","22627","MINT_KITCHEN_SCALES",6,2010-12-06,8.5,14911,"EIRE"
"537378","22699","ROSES_REGENCY_TEACUP_AND_SAUCER",12,2010-12-06,2.95,14911,"EIRE"
"537378","C2","CARRIAGE",1,2010-12-06,50,14911,"EIRE"
"537386","22119","PEACE_WOODEN_BLOCK_LETTERS",3,2010-12-06,6.95,14911,"EIRE"
"538009","22112","CHOCOLATE_HOT_WATER_BOTTLE",6,2010-12-09,4.95,14911,"EIRE"
"538009","22835","HOT_WATER_BOTTLE_I_AM_SO_POORLY",4,2010-12-09,4.65,14911,"EIRE"
"538009","22114","HOT_WATER_BOTTLE_TEA_AND_SYMPATHY",8,2010-12-09,3.95,14911,"EIRE"
"538009","22769","CHALKBOARD_KITCHEN_ORGANISER",4,2010-12-09,21.95,14911,"EIRE"
"538009","21523","DOORMAT_FANCY_FONT_HOME_SWEET_HOME",2,2010-12-09,7.95,14911,"EIRE"
"538009","48188","DOORMAT_WELCOME_PUPPIES",2,2010-12-09,7.95,14911,"EIRE"
"538009","22788","BROCANTE_COAT_RACK",2,2010-12-09,9.95,14911,"EIRE"
"538009","21181","PLEASE_ONE_PERSON_METAL_SIGN",12,2010-12-09,2.1,14911,"EIRE"
"538009","21843","RED_RETROSPOT_CAKE_STAND",6,2010-12-09,10.95,14911,"EIRE"
"538009","22423","REGENCY_CAKESTAND_3_TIER",16,2010-12-09,10.95,14911,"EIRE"
"538009","22283","6_EGG_HOUSE_PAINTED_WOOD",2,2010-12-09,7.95,14911,"EIRE"
"538009","21469","POLKA_DOT_RAFFIA_FOOD_COVER",6,2010-12-09,3.75,14911,"EIRE"
"538009","22846","BREAD_BIN_DINER_STYLE_RED",2,2010-12-09,16.95,14911,"EIRE"
"538009","21155","RED_RETROSPOT_PEG_BAG",6,2010-12-09,2.1,14911,"EIRE"
"538009","20754","RETROSPOT_RED_WASHING_UP_GLOVES",6,2010-12-09,2.1,14911,"EIRE"
"538009","20751","FUNKY_WASHING_UP_GLOVES_ASSORTED",12,2010-12-09,2.1,14911,"EIRE"
"538009","20752","BLUE_POLKADOT_WASHING_UP_GLOVES",6,2010-12-09,2.1,14911,"EIRE"
"538009","21041","RED_RETROSPOT_OVEN_GLOVE_DOUBLE",6,2010-12-09,2.95,14911,"EIRE"
"538009","21212","PACK_OF_72_RETROSPOT_CAKE_CASES",24,2010-12-09,0.55,14911,"EIRE"
"538009","84991","60_TEATIME_FAIRY_CAKE_CASES",24,2010-12-09,0.55,14911,"EIRE"
"538009","22966","GINGERBREAD_MAN_COOKIE_CUTTER",12,2010-12-09,1.25,14911,"EIRE"
"538009","84380","SET_OF_3_BUTTERFLY_COOKIE_CUTTERS",12,2010-12-09,1.25,14911,"EIRE"
"538009","20914","SET/5_RED_RETROSPOT_LID_GLASS_BOWLS",6,2010-12-09,2.95,14911,"EIRE"
"538009","21156","RETROSPOT_CHILDRENS_APRON",8,2010-12-09,1.95,14911,"EIRE"
"538009","21733","RED_HANGING_HEART_T-LIGHT_HOLDER",18,2010-12-09,2.95,14911,"EIRE"
"538009","22804","CANDLEHOLDER_PINK_HANGING_HEART",18,2010-12-09,2.95,14911,"EIRE"
"538009","22795","SWEETHEART_RECIPE_BOOK_STAND",2,2010-12-09,6.75,14911,"EIRE"
"538009","21754","HOME_BUILDING_BLOCK_WORD",3,2010-12-09,5.95,14911,"EIRE"
"538009","22840","ROUND_CAKE_TIN_VINTAGE_RED",2,2010-12-09,7.95,14911,"EIRE"
"538009","22842","BISCUIT_TIN_VINTAGE_RED",2,2010-12-09,6.75,14911,"EIRE"
"538009","22197","SMALL_POPCORN_HOLDER",36,2010-12-09,0.85,14911,"EIRE"
"538009","22198","LARGE_POPCORN_HOLDER",12,2010-12-09,1.65,14911,"EIRE"
"538255","22909","SET_OF_20_VINTAGE_CHRISTMAS_NAPKINS",12,2010-12-10,0.85,14911,"EIRE"
"538255","21042","RED_RETROSPOT_APRON",3,2010-12-10,5.95,14911,"EIRE"
"538255","47567B","TEA_TIME_KITCHEN_APRON",12,2010-12-10,5.95,14911,"EIRE"
"538255","47591D","PINK_FAIRY_CAKE_CHILDRENS_APRON",8,2010-12-10,1.95,14911,"EIRE"
"538255","20725","LUNCH_BAG_RED_RETROSPOT",10,2010-12-10,1.65,14911,"EIRE"
"538255","21527","RED_RETROSPOT_TRADITIONAL_TEAPOT",2,2010-12-10,7.95,14911,"EIRE"
"538255","21531","RED_RETROSPOT_SUGAR_JAM_BOWL",6,2010-12-10,2.55,14911,"EIRE"
"538255","21539","RED_RETROSPOT_BUTTER_DISH",3,2010-12-10,4.95,14911,"EIRE"
"538255","21537","RED_RETROSPOT_PUDDING_BOWL",4,2010-12-10,4.25,14911,"EIRE"
"538255","22072","RED_RETROSPOT_TEA_CUP_AND_SAUCER",4,2010-12-10,3.75,14911,"EIRE"
"538255","22348","TEA_BAG_PLATE_RED_RETROSPOT",12,2010-12-10,0.85,14911,"EIRE"
"538255","17091J","VANILLA_INCENSE_IN_TIN",6,2010-12-10,1.25,14911,"EIRE"
"538255","17012D","ORIGAMI_ROSE_INCENSE/CANDLE_SET",6,2010-12-10,2.55,14911,"EIRE"
"538255","17012B","ORIGAMI_JASMINE_INCENSE/CANDLE_SET",6,2010-12-10,2.55,14911,"EIRE"
"538255","17012E","ORIGAMI_OPIUM_INCENSE/CANDLE_SET",6,2010-12-10,2.55,14911,"EIRE"
"538255","17012F","ORIGAMI_SANDLEWOOD_INCENSE/CAND_SET",12,2010-12-10,2.55,14911,"EIRE"
"538255","21533","RETROSPOT_LARGE_MILK_JUG",6,2010-12-10,4.95,14911,"EIRE"
"538255","21181","PLEASE_ONE_PERSON_METAL_SIGN",12,2010-12-10,2.1,14911,"EIRE"
"538255","15056BL","EDWARDIAN_PARASOL_BLACK",3,2010-12-10,5.95,14911,"EIRE"
"538255","20679","EDWARDIAN_PARASOL_RED",3,2010-12-10,5.95,14911,"EIRE"
"538255","21524","DOORMAT_SPOTTY_HOME_SWEET_HOME",2,2010-12-10,7.95,14911,"EIRE"
"538255","21523","DOORMAT_FANCY_FONT_HOME_SWEET_HOME",2,2010-12-10,7.95,14911,"EIRE"
"538255","48187","DOORMAT_NEW_ENGLAND",2,2010-12-10,7.95,14911,"EIRE"
"538255","22423","REGENCY_CAKESTAND_3_TIER",6,2010-12-10,12.75,14911,"EIRE"
"538255","22367","CHILDRENS_APRON_SPACEBOY_DESIGN",8,2010-12-10,1.95,14911,"EIRE"
"538255","22411","JUMBO_SHOPPER_VINTAGE_RED_PAISLEY",20,2010-12-10,1.95,14911,"EIRE"
"538255","21974","SET_OF_36_PAISLEY_FLOWER_DOILIES",24,2010-12-10,1.45,14911,"EIRE"
"538255","47570B","TEA_TIME_TABLE_CLOTH",6,2010-12-10,10.65,14911,"EIRE"
"538255","22624","IVORY_KITCHEN_SCALES",2,2010-12-10,8.5,14911,"EIRE"
"538255","22625","RED_KITCHEN_SCALES",2,2010-12-10,8.5,14911,"EIRE"
"538255","85008","SET_OF_3_CONEY_ISLAND_OVAL_BOXES",3,2010-12-10,4.95,14911,"EIRE"
"538255","22795","SWEETHEART_RECIPE_BOOK_STAND",6,2010-12-10,6.75,14911,"EIRE"
"538255","22798","ANTIQUE_GLASS_DRESSING_TABLE_POT",8,2010-12-10,2.95,14911,"EIRE"
"538255","22800","ANTIQUE_TALL_SWIRLGLASS_TRINKET_POT",4,2010-12-10,3.75,14911,"EIRE"
"538255","22801","ANTIQUE_GLASS_PEDESTAL_BOWL",4,2010-12-10,3.75,14911,"EIRE"
"538255","22796","PHOTO_FRAME_3_CLASSIC_HANGING",4,2010-12-10,9.95,14911,"EIRE"
"538255","37501","TEA_TIME_TEA_SET_IN_GIFT_BOX",3,2010-12-10,6.95,14911,"EIRE"
"538255","22794","SWEETHEART_WIRE_MAGAZINE_RACK",2,2010-12-10,7.95,14911,"EIRE"
"538255","21257","VICTORIAN_SEWING_BOX_MEDIUM",2,2010-12-10,7.95,14911,"EIRE"
"538255","21258","VICTORIAN_SEWING_BOX_LARGE",1,2010-12-10,12.75,14911,"EIRE"
"538255","84987","SET_OF_36_TEATIME_PAPER_DOILIES",12,2010-12-10,1.45,14911,"EIRE"
"538255","21166","COOK_WITH_WINE_METAL_SIGN",12,2010-12-10,1.95,14911,"EIRE"
"538255","22413","METAL_SIGN_TAKE_IT_OR_LEAVE_IT",6,2010-12-10,2.95,14911,"EIRE"
"538255","84683","CLASSICAL_ROSE_CANDLESTAND",48,2010-12-10,0.65,14911,"EIRE"
"538255","71279","PINK_GLASS_CANDLEHOLDER",6,2010-12-10,2.95,14911,"EIRE"
"538255","84609","TALL_ROCOCO_CANDLE_HOLDER",4,2010-12-10,8.5,14911,"EIRE"
"538255","22371","AIRLINE_BAG_VINTAGE_TOKYO_78",4,2010-12-10,4.25,14911,"EIRE"
"538255","22374","AIRLINE_BAG_VINTAGE_JET_SET_RED",4,2010-12-10,4.25,14911,"EIRE"
"538255","21588","RETROSPOT_GIANT_TUBE_MATCHES",12,2010-12-10,2.55,14911,"EIRE"
"538255","70006","LOVE_HEART_POCKET_WARMER",12,2010-12-10,1.65,14911,"EIRE"
"538255","10002","INFLATABLE_POLITICAL_GLOBE",12,2010-12-10,0.85,14911,"EIRE"
"539320","84032A","CHARLIE+LOLA_PINK_HOT_WATER_BOTTLE",24,2010-12-16,2.95,14911,"EIRE"
"539320","72816","SET/3_CHRISTMAS_DECOUPAGE_CANDLES",24,2010-12-16,1.25,14911,"EIRE"
"539320","72817","SET_OF_2_CHRISTMAS_DECOUPAGE_CANDLE",24,2010-12-16,1.25,14911,"EIRE"
"539320","72818","CHRISTMAS_DECOUPAGE_CANDLE",36,2010-12-16,0.72,14911,"EIRE"
"539320","22795","SWEETHEART_RECIPE_BOOK_STAND",10,2010-12-16,6.75,14911,"EIRE"
"539320","15056BL","EDWARDIAN_PARASOL_BLACK",6,2010-12-16,5.95,14911,"EIRE"
"539320","15056N","EDWARDIAN_PARASOL_NATURAL",6,2010-12-16,5.95,14911,"EIRE"
"539320","20679","EDWARDIAN_PARASOL_RED",6,2010-12-16,5.95,14911,"EIRE"
"539320","15056P","EDWARDIAN_PARASOL_PINK",6,2010-12-16,5.95,14911,"EIRE"
"539320","21411","GINGHAM_HEART__DOORSTOP_RED",6,2010-12-16,4.25,14911,"EIRE"
"539320","22939","APRON_APPLE_DELIGHT",12,2010-12-16,4.95,14911,"EIRE"
"539320","22897","OVEN_MITT_APPLES_DESIGN",10,2010-12-16,1.45,14911,"EIRE"
"539320","47559B","TEA_TIME_OVEN_GLOVE",20,2010-12-16,1.25,14911,"EIRE"
"539320","22896","PEG_BAG_APPLES_DESIGN",12,2010-12-16,2.55,14911,"EIRE"
"539320","21155","RED_RETROSPOT_PEG_BAG",12,2010-12-16,2.1,14911,"EIRE"
"539320","35957","SMALLFOLKART_BAUBLE_CHRISTMAS_DEC",96,2010-12-16,0.19,14911,"EIRE"
"539320","85123A","WHITE_HANGING_HEART_T-LIGHT_HOLDER",24,2010-12-16,2.95,14911,"EIRE"
"539320","84032B","CHARLIE_+_LOLA_RED_HOT_WATER_BOTTLE",24,2010-12-16,2.95,14911,"EIRE"
"539337","22621","TRADITIONAL_KNITTING_NANCY",12,2010-12-17,1.45,NA,"EIRE"
"539337","22963","JAM_JAR_WITH_GREEN_LID",12,2010-12-17,0.85,NA,"EIRE"
"539337","22962","JAM_JAR_WITH_PINK_LID",12,2010-12-17,0.85,NA,"EIRE"
"539337","22961","JAM_MAKING_SET_PRINTED",24,2010-12-17,1.45,NA,"EIRE"
"539337","22960","JAM_MAKING_SET_WITH_JARS",12,2010-12-17,3.75,NA,"EIRE"
"539337","22969","HOMEMADE_JAM_SCENTED_CANDLES",24,2010-12-17,1.45,NA,"EIRE"
"539337","22720","SET_OF_3_CAKE_TINS_PANTRY_DESIGN",6,2010-12-17,4.95,NA,"EIRE"
"539337","22722","SET_OF_6_SPICE_TINS_PANTRY_DESIGN",4,2010-12-17,3.95,NA,"EIRE"
"539337","82552","WASHROOM_METAL_SIGN",12,2010-12-17,1.45,NA,"EIRE"
"539337","22692","DOORMAT_WELCOME_TO_OUR_HOME",10,2010-12-17,6.75,NA,"EIRE"
"539337","22141","CHRISTMAS_CRAFT_TREE_TOP_ANGEL",12,2010-12-17,2.1,NA,"EIRE"
"539337","22144","CHRISTMAS_CRAFT_LITTLE_FRIENDS",12,2010-12-17,2.1,NA,"EIRE"
"539337","21888","BINGO_SET",4,2010-12-17,3.75,NA,"EIRE"
"539337","22493","PAINT_YOUR_OWN_CANVAS_SET",12,2010-12-17,1.65,NA,"EIRE"
"539337","21977","PACK_OF_60_PINK_PAISLEY_CAKE_CASES",24,2010-12-17,0.55,NA,"EIRE"
"539337","22666","RECIPE_BOX_PANTRY_YELLOW_DESIGN",6,2010-12-17,2.95,NA,"EIRE"
"539337","22665","RECIPE_BOX_BLUE_SKETCHBOOK_DESIGN",6,2010-12-17,2.95,NA,"EIRE"
